order_id,order_date,ship_date,customer,manufactory,product_name,segment,category,subcategory,region,zip,city,state,country,discount,profit,quantity,sales,profit_margin
US-2020-103800,43468,43472,Darren Powers,Message Book,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Consumer,Office Supplies,Paper,Central,77095,Houston,Texas,United States,0.2,5.5512,2,16.448,0.3375
US-2020-112326,43469,43473,Phillina Ober,GBC,GBC Standard Plastic Binding Systems Combs,Home Office,Office Supplies,Binders,Central,60540,Naperville,Illinois,United States,0.8,-5.487,2,3.54,-1.55
US-2020-112326,43469,43473,Phillina Ober,Avery,Avery 508,Home Office,Office Supplies,Labels,Central,60540,Naperville,Illinois,United States,0.2,4.2717,3,11.784,0.3625
US-2020-112326,43469,43473,,SAFCO,SAFCO Boltless Steel Shelving,Home Office,Office Supplies,Storage,Central,,Naperville,Illinois,United States,0.2,-64.7748,3,272.736,-0.2375
US-2020-141817,43470,43477,Mick Brown,Avery,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Consumer,Office Supplies,Art,East,19143,Philadelphia,Pennsylvania,United States,0.2,4.884,3,19.536,0.25
US-2020-106054,43471,43472,Jack O'Briant,Dixon,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Corporate,Office Supplies,Art,South,30605,Athens,Georgia,United States,0,5.2398,3,12.78,0.41
US-2020-130813,43471,43473,Lycoris Saunders,Xerox,Xerox 225,Consumer,Office Supplies,Paper,West,90049,Los Angeles,California,United States,0,9.3312,3,19.44,0.48
US-2020-167199,43471,43475,Maria Etezadi,Global,Global Deluxe High-Back Manager's Chair,Home Office,Furniture,Chairs,South,42420,Henderson,Kentucky,United States,0,746.4078,9,2573.82,0.29
US-2020-167199,43471,43475,Maria Etezadi,Rogers,Rogers Handheld Barrel Pencil Sharpener,Home Office,Office Supplies,Art,South,42420,Henderson,Kentucky,United States,0,1.4796,2,5.48,0.27
US-2020-167199,43471,43475,Maria Etezadi,Ibico,Ibico Hi-Tech Manual Binding System,Home Office,Office Supplies,Binders,South,42420,Henderson,Kentucky,United States,0,274.491,2,609.98,0.45
US-2020-167199,43471,43475,Maria Etezadi,Alliance,"Alliance Super-Size Bands, Assorted Sizes",Home Office,Office Supplies,Fasteners,South,42420,Henderson,Kentucky,United States,0,0.3112,4,31.12,0.01
US-2020-167199,43471,43475,Maria Etezadi,Southworth,Southworth 25% Cotton Granite Paper & Envelopes,Home Office,Office Supplies,Paper,,,,,United States,0,3.0084,1,6.54,0.46
US-2020-167199,43471,43475,Maria Etezadi,Other,Wireless Extenders zBoost YX545 SOHO Signal Booster,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,United States,0,204.1092,4,755.96,0.27
US-2020-167199,43471,43475,Maria Etezadi,GE,GE 30524EE4,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,United States,0,113.6742,2,391.98,0.29
